id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7771742,Cozy and Bright Room in Mile-end,40880361,Aletha,,Outremont,45.52230324180573,-73.60671958096545,Private room,37,1,1,2015-08-27,0.81,1,365
959727,Superbe appartement à Montréal,1792119,Christine,,Outremont,45.5197179590061,-73.61050026481905,Entire home/apt,78,21,0,,,1,122
6588054,Cosy & elegant apt (Outremont),10810386,Franck,,Outremont,45.5069662162218,-73.61655040181864,Entire home/apt,110,3,7,2015-08-30,1.79,1,122
4532643,Spacious 2 bedroom GREAT location!,20764599,Amelie&Manu,,Outremont,45.51587393670735,-73.59125450895273,Entire home/apt,90,1,3,2015-09-08,0.33,2,272
7921734,Beautiful typical appt in Outremont,41771185,Valentin,,Outremont,45.518547420260965,-73.61538833096711,Entire home/apt,116,2,2,2015-09-16,2,1,163
8208480,One bedroom apt in the Mile End !,43284368,Francesco,,Outremont,45.519646638308345,-73.59971732614801,Entire home/apt,70,3,0,,,1,12
5769139,Grand 51/2 Mile End dispo en mai!,29929950,Cynthia,,Outremont,45.52040458335462,-73.60142913366343,Entire home/apt,105,1,2,2015-06-03,0.39,1,166
3147518,Private room with a balcony,15979687,Maria,,Outremont,45.523383338441384,-73.60896641212666,Private room,50,1,16,2015-09-02,1.08,1,348
7034599,2nd Floor condo w roof top patio,10097193,Jean,,Outremont,45.52105694923632,-73.60642497751287,Entire home/apt,300,2,2,2015-08-29,0.98,1,365
6502061,The coolest location in Montreal.,24558497,Anna,,Outremont,45.52373347247267,-73.61228966214341,Private room,48,1,10,2015-09-21,3.13,1,336
1607854,Beautiful and perfectly located! ,7358020,Sophie,,Outremont,45.517556149760836,-73.59741218535757,Private room,74,1,25,2015-07-05,1.00,2,335
221939,Superbe Loft au coeur de miles end,1151697,Sacha,,Outremont,45.5203948595727,-73.60104533429042,Entire home/apt,150,3,88,2015-09-14,1.84,1,340
6488218,"Appartement à Outremont, Montréal",33907322,Carmen,,Outremont,45.51600686792778,-73.61903822414348,Entire home/apt,60,10,1,2015-08-10,0.56,1,108
3645783,Beautiful family house in Outremont,18414964,Anouk,,Outremont,45.524261411417775,-73.61329049503321,Entire home/apt,130,7,1,2015-08-11,0.57,1,78
7274449,Great Sunny Room in Mile End/Outremont,38085927,Don,,Outremont,45.52258631870657,-73.60758432794967,Private room,20,1,14,2015-09-26,5.45,2,136
7612050,nice room in mile end apartment,39921515,Uriah,,Outremont,45.51982684075543,-73.60091617273619,Private room,31,1,2,2015-08-10,0.98,1,39
